YEAR;MONTH;DAY;AIRLINE;ORIGIN_AIRPORT;DESTINATION_AIRPORT;DEPARTURE_DELAY;ARRIVAL_DELAY;CANCELLED
2015;1;1;EV;TUS;IAH;8.0;19.0;0.0
2015;1;1;EV;PIA;ATL;-5.0;-24.0;0.0
2015;1;1;F9;IND;DEN;-9.0;-19.0;0.0
2015;1;1;F9;MCI;DEN;2.0;6.0;0.0
2015;1;1;F9;DFW;DEN;57.0;52.0;0.0
2015;1;1;HA;HNL;OGG;-5.0;-1.0;0.0
2015;1;1;OO;OKC;LAX;-3.0;9.0;0.0
2015;1;1;OO;FAR;DEN;5.0;-3.0;0.0
2015;1;1;UA;SFO;IAH;-5.0;-2.0;0.0
2015;1;1;UA;EWR;FLL;-8.0;-37.0;0.0
2015;1;1;OO;MTJ;DEN;-7.0;2.0;0.0
2015;1;1;NK;RSW;DTW;-6.0;7.0;0.0
2015;1;1;OO;GCC;RKS;-5.0;-9.0;0.0
2015;1;1;UA;MSY;EWR;-2.0;-14.0;0.0
2015;1;1;UA;ORD;MCO;-5.0;-21.0;0.0
2015;1;1;EV;RIC;ORD;0.0;4.0;0.0
2015;1;1;OO;RDM;SFO;-9.0;-23.0;0.0
2015;1;1;HA;OGG;HNL;-8.0;-4.0;0.0
2015;1;1;OO;SJC;SLC;-10.0;12.0;0.0
2015;1;1;OO;ORD;MBS;-3.0;-13.0;0.0
2015;1;1;US;EWR;CLT;6.0;15.0;0.0
2015;1;1;WN;PHX;BWI;0.0;-24.0;0.0
2015;1;1;UA;SEA;IAD;-5.0;-29.0;0.0
2015;1;1;UA;LAS;SFO;-4.0;-20.0;0.0
2015;1;1;AA;DFW;MIA;-7.0;-18.0;0.0
2015;1;1;AA;PHX;DFW;-7.0;-6.0;0.0
2015;1;1;AA;BOS;MIA;-5.0;-17.0;0.0
2015;1;1;AA;LAX;STL;-1.0;-11.0;0.0
2015;1;1;AS;OAK;SEA;-2.0;-8.0;0.0
2015;1;1;AS;SEA;LAX;1.0;-4.0;0.0
2015;1;1;B6;BOS;IAD;-7.0;-24.0;0.0
2015;1;1;B6;LAX;JFK;10.0;-11.0;0.0
2015;1;1;B6;DCA;FLL;-7.0;-14.0;0.0
2015;1;1;B6;DTW;BOS;-7.0;-35.0;0.0
2015;1;1;AA;BNA;LAX;-3.0;-8.0;0.0
2015;1;1;DL;PHL;ATL;-2.0;-31.0;0.0
2015;1;1;DL;PHX;MSP;106.0;93.0;0.0
2015;1;1;B6;SJU;FLL;15.0;19.0;0.0
2015;1;1;EV;VPS;IAH;-3.0;-3.0;0.0
2015;1;1;EV;GUC;DEN;7.0;12.0;0.0
2015;1;1;F9;MIA;LGA;38.0;40.0;0.0
2015;1;1;MQ;RIC;MIA;-1.0;-15.0;0.0
2015;1;1;MQ;DTW;LGA;-7.0;-25.0;0.0
2015;1;1;MQ;ORF;MIA;-5.0;-4.0;0.0
2015;1;1;OO;MOT;DEN;-10.0;-29.0;0.0
2015;1;1;AA;STL;MIA;-8.0;-28.0;0.0
2015;1;1;B6;BOS;FLL;-4.0;-20.0;0.0
2015;1;1;EV;MLU;IAH;29.0;28.0;0.0
2015;1;1;NK;LAX;LAS;-5.0;-9.0;0.0
2015;1;1;UA;PDX;ORD;-2.0;-13.0;0.0
2015;1;1;B6;JFK;SJU;-2.0;-23.0;0.0
2015;1;1;HA;KOA;HNL;6.0;11.0;0.0
2015;1;1;OO;EUG;SLC;-7.0;-10.0;0.0
2015;1;1;US;RNO;PHX;-10.0;-5.0;0.0
2015;1;1;US;PHX;CLT;14.0;-7.0;0.0
2015;1;1;WN;CMH;ATL;136.0;116.0;0.0
2015;1;1;WN;HOU;ATL;-3.0;-7.0;0.0
2015;1;1;WN;HOU;PHX;-2.0;-4.0;0.0
2015;1;1;AA;BOS;JFK;-2.0;-13.0;0.0
2015;1;1;AA;MSP;DFW;3.0;-6.0;0.0
2015;1;1;AS;SEA;SNA;-6.0;-5.0;0.0
